n_agents,shape,conclusion,steps
5,cycle,1.0,384
5,wheel,1.0,187
5,complete,1.0,34
6,cycle,0.0,9
6,wheel,1.0,312
6,complete,0.0,15
7,cycle,1.0,1048
7,wheel,1.0,428
7,complete,1.0,263
8,cycle,1.0,686
8,wheel,1.0,698
8,complete,1.0,88
9,cycle,1.0,519
9,wheel,1.0,176
9,complete,1.0,83
10,cycle,1.0,583
10,wheel,1.0,166
10,complete,1.0,67
5,cycle,1.0,392
5,wheel,1.0,888
5,complete,1.0,249
6,cycle,1.0,184
6,wheel,0.0,82
6,complete,1.0,103
7,cycle,1.0,632
7,wheel,0.0,20
7,complete,1.0,50
8,cycle,1.0,663
8,wheel,1.0,541
8,complete,1.0,45
9,cycle,1.0,916
9,wheel,1.0,181
9,complete,1.0,234
10,cycle,1.0,888
10,wheel,1.0,1126
10,complete,1.0,165
5,cycle,1.0,498
5,wheel,1.0,362
5,complete,1.0,184
6,cycle,1.0,1508
6,wheel,1.0,433
6,complete,1.0,266
7,cycle,0.0,69
7,wheel,1.0,212
7,complete,1.0,88
8,cycle,1.0,526
8,wheel,1.0,225
8,complete,1.0,377
9,cycle,1.0,378
9,wheel,1.0,215
9,complete,1.0,129
10,cycle,1.0,1015
10,wheel,1.0,344
10,complete,1.0,701
5,cycle,1.0,819
5,wheel,1.0,153
5,complete,1.0,109
6,cycle,1.0,349
6,wheel,1.0,843
6,complete,0.0,187
7,cycle,0.0,21
7,wheel,1.0,73
7,complete,1.0,184
8,cycle,1.0,390
8,wheel,1.0,238
8,complete,1.0,84
9,cycle,1.0,981
9,wheel,1.0,393
9,complete,1.0,228
10,cycle,1.0,1731
10,wheel,1.0,325
10,complete,1.0,382
5,cycle,1.0,296
5,wheel,1.0,730
5,complete,1.0,150
6,cycle,1.0,612
6,wheel,1.0,417
6,complete,1.0,65
7,cycle,1.0,361
7,wheel,1.0,342
7,complete,1.0,62
8,cycle,1.0,1364
8,wheel,0.0,66
8,complete,1.0,120
9,cycle,1.0,775
9,wheel,1.0,373
9,complete,0.0,122
10,cycle,0.0,17
10,wheel,0.0,319
10,complete,1.0,61
5,cycle,1.0,643
5,wheel,1.0,142
5,complete,1.0,304
6,cycle,1.0,564
6,wheel,1.0,329
6,complete,1.0,180
7,cycle,1.0,1348
7,wheel,1.0,262
7,complete,0.0,163
8,cycle,1.0,1383
8,wheel,1.0,411
8,complete,1.0,83
9,cycle,0.0,1
9,wheel,1.0,468
9,complete,1.0,151
10,cycle,1.0,556
10,wheel,1.0,700
